osmid,y,x,street_count,junction,highway,ref,geometry
245647497,18.5383784,73.7938662,3,,,,POINT (73.7938662 18.5383784)
245647499,18.5285032,73.8823228,4,,,,POINT (73.8823228 18.5285032)
245647504,18.528429,73.8837371,3,,,,POINT (73.8837371 18.528429)
245647521,18.5388626,73.793872,3,,,,POINT (73.793872 18.5388626)
245647522,18.5296444,73.9029967,4,,,,POINT (73.9029967 18.5296444)
245647540,18.5402657,73.7937992,3,,,,POINT (73.7937992 18.5402657)
245647637,18.5426597,73.7900171,4,,,,POINT (73.7900171 18.5426597)
245647656,18.5294901,73.8632329,3,,,,POINT (73.8632329 18.5294901)
245647676,18.5434006,73.78619,3,,,,POINT (73.78619 18.5434006)
245647681,18.5435572,73.7850649,3,,,,POINT (73.7850649 18.5435572)
245647685,18.532749,73.8992249,4,,,,POINT (73.8992249 18.532749)
245647691,18.5336216,73.8788855,4,,traffic_signals,,POINT (73.8788855 18.5336216)
245647694,18.5328972,73.8971603,4,,,,POINT (73.8971603 18.5328972)
245647703,18.5330296,73.8875017,3,,,,POINT (73.8875017 18.5330296)
245647725,18.5347471,73.8796807,4,,traffic_signals,,POINT (73.8796807 18.5347471)
245647782,18.5470693,73.8171409,4,,traffic_signals,,POINT (73.8171409 18.5470693)
245647789,18.5473049,73.8164837,3,,,,POINT (73.8164837 18.5473049)
245647817,18.5482621,73.7699955,4,,,,POINT (73.7699955 18.5482621)
245647821,18.527345,73.776266,3,,,,POINT (73.776266 18.527345)
245647867,18.5390186,73.9037093,3,,traffic_signals,,POINT (73.9037093 18.5390186)
245647904,18.539431,73.8855066,4,,traffic_signals,,POINT (73.8855066 18.539431)
245647924,18.5395968,73.8881518,3,,,,POINT (73.8881518 18.5395968)
245647925,18.5398877,73.8830461,4,,traffic_signals,,POINT (73.8830461 18.5398877)
245647930,18.5510648,73.8049268,4,,,,POINT (73.8049268 18.5510648)
245647953,18.5506304,73.816575,1,,,,POINT (73.816575 18.5506304)
245647955,18.5412623,73.8850468,3,,,,POINT (73.8850468 18.5412623)
245647969,18.5415921,73.8853993,4,,,,POINT (73.8853993 18.5415921)
245647981,18.5545354,73.8011384,3,,,,POINT (73.8011384 18.5545354)
245648048,18.5527887,73.8567564,3,,,,POINT (73.8567564 18.5527887)
245648051,18.5451447,73.8835394,3,,,,POINT (73.8835394 18.5451447)
245648065,18.5451921,73.8841136,3,,,,POINT (73.8841136 18.5451921)
245648067,18.5555008,73.8167597,3,,motorway_junction,,POINT (73.8167597 18.5555008)
245648080,18.556204,73.8181761,3,,,,POINT (73.8181761 18.556204)
245648104,18.5487727,73.8710518,4,,traffic_signals,,POINT (73.8710518 18.5487727)
245648105,18.5457372,73.8888933,3,,traffic_signals,,POINT (73.8888933 18.5457372)
245648132,18.5560704,73.8625126,3,,,,POINT (73.8625126 18.5560704)
245648140,18.5572208,73.7937858,3,,,,POINT (73.7937858 18.5572208)
245648151,18.5606155,73.8091826,4,,traffic_signals,,POINT (73.8091826 18.5606155)
245648163,18.5473074,73.8862329,4,,,,POINT (73.8862329 18.5473074)
245648219,18.5574551,73.8576574,3,,,,POINT (73.8576574 18.5574551)
245648240,18.5563956,73.8472414,3,,,,POINT (73.8472414 18.5563956)
245648258,18.5518026,73.8839588,3,,,,POINT (73.8839588 18.5518026)
245648341,18.5523163,73.8959942,3,,,,POINT (73.8959942 18.5523163)
245648367,18.5532061,73.882261,3,,,,POINT (73.882261 18.5532061)
245648368,18.5527046,73.8896784,4,,traffic_signals,,POINT (73.8896784 18.5527046)
245648378,18.553309,73.883122,4,,,,POINT (73.883122 18.553309)
245648379,18.5541306,73.8968038,3,,,,POINT (73.8968038 18.5541306)
245648420,18.5542226,73.8953856,3,,,,POINT (73.8953856 18.5542226)
245648437,18.5543054,73.8932094,3,,,,POINT (73.8932094 18.5543054)
245648500,18.5614261,73.7868758,3,,,,POINT (73.7868758 18.5614261)
245648526,18.5580245,73.8948008,3,,,,POINT (73.8948008 18.5580245)
245648559,18.5591793,73.8915142,4,,,,POINT (73.8915142 18.5591793)
245648581,18.562723,73.9279372,4,,traffic_signals,,POINT (73.9279372 18.562723)
245648682,18.5646024,73.8940318,4,,,,POINT (73.8940318 18.5646024)
247258939,18.4482851,73.8668117,3,,,,POINT (73.8668117 18.4482851)
247258946,18.4496439,73.8715024,4,,,,POINT (73.8715024 18.4496439)
247279728,18.504926,73.8111604,3,,,,POINT (73.8111604 18.504926)
247637057,18.5490216,73.8510677,4,,traffic_signals,,POINT (73.8510677 18.5490216)
247662464,18.4674836,73.8186372,3,,,,POINT (73.8186372 18.4674836)
247662474,18.4670843,73.8226534,3,,,,POINT (73.8226534 18.4670843)
247669350,18.5202733,73.879989,3,,,,POINT (73.879989 18.5202733)
247669392,18.5175482,73.8789406,4,,,,POINT (73.8789406 18.5175482)
247669393,18.513602,73.8787976,4,,,,POINT (73.8787976 18.513602)
247669395,18.5182575,73.8796426,4,,,,POINT (73.8796426 18.5182575)
247669543,18.5170986,73.877313,4,,,,POINT (73.877313 18.5170986)
247669545,18.5164496,73.8740069,3,,,,POINT (73.8740069 18.5164496)
247669698,18.5192438,73.8764038,3,,,,POINT (73.8764038 18.5192438)
247669701,18.5158876,73.8769722,3,,,,POINT (73.8769722 18.5158876)
247739724,18.5139756,73.8779718,3,,,,POINT (73.8779718 18.5139756)
247739725,18.5142064,73.8777194,3,,,,POINT (73.8777194 18.5142064)
247739731,18.5155056,73.8756342,3,,,,POINT (73.8756342 18.5155056)
247739742,18.516339,73.8713326,3,,,,POINT (73.8713326 18.516339)
247739752,18.5153778,73.8659635,4,,,,POINT (73.8659635 18.5153778)
247739753,18.515387,73.8648179,3,,,,POINT (73.8648179 18.515387)
247739906,18.5226717,73.8674744,4,,,,POINT (73.8674744 18.5226717)
247739907,18.5228709,73.8674618,3,,,,POINT (73.8674618 18.5228709)
247739909,18.5245439,73.8674502,3,,,,POINT (73.8674502 18.5245439)
247739910,18.5254894,73.867448,4,,traffic_signals,,POINT (73.867448 18.5254894)
247740216,18.5237911,73.8698939,3,,,,POINT (73.8698939 18.5237911)
247740218,18.52321,73.8689124,4,,,,POINT (73.8689124 18.52321)
247740223,18.522215,73.8661087,3,,,,POINT (73.8661087 18.522215)
247740224,18.5221734,73.8658534,3,,,,POINT (73.8658534 18.5221734)
247740228,18.5216217,73.865081,3,,,,POINT (73.865081 18.5216217)
247740453,18.5145952,73.8797946,3,,,,POINT (73.8797946 18.5145952)
247740454,18.5159346,73.8796596,3,,,,POINT (73.8796596 18.5159346)
247740455,18.5174671,73.8796089,3,,,,POINT (73.8796089 18.5174671)
247740553,18.5106058,73.8801626,3,,,,POINT (73.8801626 18.5106058)
247740556,18.5070124,73.8793253,3,,,,POINT (73.8793253 18.5070124)
248154911,18.5258288,73.831348,3,,,,POINT (73.831348 18.5258288)
248154912,18.5256129,73.8305299,3,,,,POINT (73.8305299 18.5256129)
248154921,18.5292783,73.8248141,3,,,,POINT (73.8248141 18.5292783)
248154922,18.5292303,73.8235085,3,,,,POINT (73.8235085 18.5292303)
248155473,18.5330149,73.8258256,4,,,,POINT (73.8258256 18.5330149)
248155476,18.531037,73.8287277,3,,,,POINT (73.8287277 18.531037)
248155938,18.5145118,73.8329125,3,,,,POINT (73.8329125 18.5145118)
248155951,18.5083514,73.8308827,3,,traffic_signals,,POINT (73.8308827 18.5083514)
248156010,18.5139216,73.8362069,4,,,,POINT (73.8362069 18.5139216)
248156036,18.5130809,73.8405641,3,,traffic_signals,,POINT (73.8405641 18.5130809)
248156064,18.5112563,73.8420168,3,,,,POINT (73.8420168 18.5112563)
248156068,18.512254,73.8368888,3,,,,POINT (73.8368888 18.512254)
248156069,18.5130936,73.8363619,3,,,,POINT (73.8363619 18.5130936)
248156235,18.5066985,73.8536852,3,,,,POINT (73.8536852 18.5066985)
248160319,18.4625158,73.8652092,3,,,,POINT (73.8652092 18.4625158)
248161700,18.5523259,73.8730805,3,,,,POINT (73.8730805 18.5523259)
248161736,18.5522241,73.8732442,4,,,,POINT (73.8732442 18.5522241)
248162487,18.5273296,73.8973819,3,,,,POINT (73.8973819 18.5273296)
248170409,18.5055888,73.8784676,4,,,,POINT (73.8784676 18.5055888)
248170529,18.5036899,73.8802208,4,,,,POINT (73.8802208 18.5036899)
248170602,18.5121084,73.8822847,3,,,,POINT (73.8822847 18.5121084)
248170603,18.5141326,73.882011,3,,,,POINT (73.882011 18.5141326)
248170640,18.5115451,73.8837932,3,,,,POINT (73.8837932 18.5115451)
248170701,18.5146427,73.8905165,3,,,,POINT (73.8905165 18.5146427)
248170939,18.5065575,73.8817031,3,,,,POINT (73.8817031 18.5065575)
248170958,18.5003985,73.8840086,3,,,,POINT (73.8840086 18.5003985)
248170961,18.4988828,73.8800812,3,,,,POINT (73.8800812 18.4988828)
248171030,18.5074674,73.8772111,3,,,,POINT (73.8772111 18.5074674)
248171831,18.5526184,73.8896546,4,,traffic_signals,,POINT (73.8896546 18.5526184)
248172294,18.5641174,73.8936721,4,,,,POINT (73.8936721 18.5641174)
248174401,18.5812907,73.9870896,3,,,,POINT (73.9870896 18.5812907)
248176346,18.5674977,73.9186264,4,,,,POINT (73.9186264 18.5674977)
248177816,18.5936679,73.9230455,3,,,,POINT (73.9230455 18.5936679)
248390933,18.5883564,73.8748999,3,,,,POINT (73.8748999 18.5883564)
248395504,18.48355,73.8816651,3,,,,POINT (73.8816651 18.48355)
248395516,18.4813898,73.8754557,3,,,,POINT (73.8754557 18.4813898)
248395521,18.4806484,73.8682728,4,,,,POINT (73.8682728 18.4806484)
248395525,18.4809443,73.8621524,3,,,,POINT (73.8621524 18.4809443)
248395526,18.4808133,73.8611668,3,,,,POINT (73.8611668 18.4808133)
248396783,18.5557999,73.8630838,3,,,,POINT (73.8630838 18.5557999)
248397041,18.558847,73.8542229,3,,,,POINT (73.8542229 18.558847)
248397343,18.5567395,73.8552554,4,,,,POINT (73.8552554 18.5567395)
248397344,18.5549618,73.8520659,3,,,,POINT (73.8520659 18.5549618)
248397577,18.5498095,73.8395488,3,,,,POINT (73.8395488 18.5498095)
248427603,18.5119109,73.9144561,3,,,,POINT (73.9144561 18.5119109)
248427604,18.5117346,73.9139945,3,,,,POINT (73.9139945 18.5117346)
248427605,18.5139484,73.9116831,3,,,,POINT (73.9116831 18.5139484)
248427855,18.5161128,73.9153154,4,,,,POINT (73.9153154 18.5161128)
248434670,18.5211969,73.8674661,3,,,,POINT (73.8674661 18.5211969)
248434979,18.517547,73.8683818,4,,,,POINT (73.8683818 18.517547)
248435607,18.5160215,73.8599443,4,,,,POINT (73.8599443 18.5160215)
248435609,18.5161016,73.8618252,4,,,,POINT (73.8618252 18.5161016)
248436092,18.5131641,73.8614253,4,,,,POINT (73.8614253 18.5131641)
248436234,18.513044,73.8687635,4,,,,POINT (73.8687635 18.513044)
248436236,18.5117288,73.8686865,4,,,,POINT (73.8686865 18.5117288)
248436313,18.5171226,73.8703694,3,,,,POINT (73.8703694 18.5171226)
248436597,18.520068,73.8699604,3,,,,POINT (73.8699604 18.520068)
248436599,18.5200582,73.8711171,3,,,,POINT (73.8711171 18.5200582)
248436601,18.5204556,73.8725004,4,,traffic_signals,,POINT (73.8725004 18.5204556)
248436602,18.5205268,73.8725571,3,,traffic_signals,,POINT (73.8725571 18.5205268)
250114643,18.5725192,73.8339871,4,,,,POINT (73.8339871 18.5725192)
250121243,18.5348573,73.8746404,4,,,,POINT (73.8746404 18.5348573)
250125782,18.5394132,73.8972866,3,,,,POINT (73.8972866 18.5394132)
250126569,18.5323595,73.917356,3,,,,POINT (73.917356 18.5323595)
250126571,18.5320065,73.9163701,3,,,,POINT (73.9163701 18.5320065)
250126817,18.5290384,73.9078373,3,,,,POINT (73.9078373 18.5290384)
250126824,18.5197758,73.9097088,3,,,,POINT (73.9097088 18.5197758)
250126931,18.5262035,73.8963527,3,,,,POINT (73.8963527 18.5262035)
250128358,18.5452274,73.9358733,3,,,,POINT (73.9358733 18.5452274)
250128367,18.5588886,73.9383227,3,,,,POINT (73.9383227 18.5588886)
250128371,18.5621172,73.9386815,4,,traffic_signals,,POINT (73.9386815 18.5621172)
250129246,18.5272549,73.9272546,3,,,,POINT (73.9272546 18.5272549)
250129251,18.5296556,73.9278201,3,,,,POINT (73.9278201 18.5296556)
250129252,18.5341145,73.9289112,4,,,,POINT (73.9289112 18.5341145)
250131558,18.5320379,73.9370968,3,,,,POINT (73.9370968 18.5320379)
250131561,18.5325229,73.9351279,3,,,,POINT (73.9351279 18.5325229)
250131571,18.5336319,73.9298557,3,,,,POINT (73.9298557 18.5336319)
250131574,18.5342956,73.9296623,3,,,,POINT (73.9296623 18.5342956)
250131830,18.5279684,73.9483568,3,,,,POINT (73.9483568 18.5279684)
250131839,18.530567,73.9422882,4,,,,POINT (73.9422882 18.530567)
250131841,18.53115,73.9398656,3,,,,POINT (73.9398656 18.53115)
250131842,18.5316793,73.9385817,3,,,,POINT (73.9385817 18.5316793)
250131843,18.5319046,73.9380416,3,,,,POINT (73.9380416 18.5319046)
250148754,18.5491474,73.886306,3,,,,POINT (73.886306 18.5491474)
250149606,18.5470183,73.8864149,3,,,,POINT (73.8864149 18.5470183)
250151483,18.5609332,73.8979729,3,,,,POINT (73.8979729 18.5609332)
275809442,18.5044803,73.9195433,3,,,,POINT (73.9195433 18.5044803)
279305413,18.4840414,73.9297605,3,,,,POINT (73.9297605 18.4840414)
279305422,18.4909462,73.9319042,4,,,,POINT (73.9319042 18.4909462)
279305423,18.4913115,73.9319474,4,,,,POINT (73.9319474 18.4913115)
279305546,18.4890691,73.9320603,3,,,,POINT (73.9320603 18.4890691)
282771761,18.5607539,73.8150706,3,,,,POINT (73.8150706 18.5607539)
282771764,18.5623123,73.815998,3,,,,POINT (73.815998 18.5623123)
282771791,18.5458751,73.9060661,4,,traffic_signals,,POINT (73.9060661 18.5458751)
